Epoch 1089
Wins - A: 15, B: 36

  2 | B | Attack     ['0.08', '0.00', '0.71', '0.21']  90 |  80 |  0.01 | {}
  3 | B | Special    ['0.05', '0.00', '0.74', '0.21']  85 |  50 |  0.01 | {'Poison': 2}
  4 | B | Special    ['0.19', '0.00', '0.62', '0.19']  80 |  20 |  0.01 | {'Poison': 1}
  5 | B | Attack     ['0.56', '0.00', '0.30', '0.13']  55 |  30 |  0.01 | {}
  6 | B | Special    ['0.39', '0.00', '0.41', '0.19']  50 |   0 |  0.01 | {'Poison': 2}
  7 | B | Defend     ['0.28', '0.04', '0.40', '0.28']  45 |  10 |  0.01 | {'Poison': 2, 'Defend': 1}
  8 | B | Special    ['0.38', '0.01', '0.39', '0.22']  40 |  10 |  0.00 | {'Poison': 1}
  9 | B | Special    ['0.17', '0.04', '0.51', '0.28']  35 |  10 |  0.00 | {'Poison': 2}
 10 | B | Special    ['0.19', '0.05', '0.49', '0.27']  30 |  10 | 10.07 | {'Poison': 1}

Epoch 1095
Wins - A: 15, B: 42

  0 | A | Recover    ['0.19', '0.00', '0.07', '0.75'] 100 | 100 | -0.01 | {}
  1 | A | Recover    ['0.11', '0.00', '0.07', '0.83']  95 | 100 | -0.01 | {'Poison': 2}
  2 | A | Recover    ['0.05', '0.00', '0.06', '0.88']  90 | 100 | -0.01 | {'Poison': 2}
  3 | A | Recover    ['0.02', '0.00', '0.12', '0.86']  85 | 100 | -0.01 | {'Poison': 2}
  4 | A | Recover    ['0.02', '0.00', '0.15', '0.83']  80 | 100 | -0.01 | {'Poison': 1}
  5 | A | Recover    ['0.03', '0.00', '0.16', '0.81']  75 | 100 | -0.01 | {}
  6 | A | Recover    ['0.03', '0.00', '0.16', '0.81']  75 | 100 | -0.01 | {}
  7 | A | Special    ['0.04', '0.00', '0.43', '0.53']  55 |  70 |  0.01 | {}
  8 | A | Special    ['0.03', '0.01', '0.43', '0.54']  50 |  40 |  0.01 | {'Poison': 2}
  9 | A | Recover    ['0.06', '0.01', '0.32', '0.61']  45 | 100 |  0.01 | {'Poison': 1}
 10 | A | Recover    ['0.02', '0.00', '0.47', '0.51']  40 | 100 | -0.01 | {}
 11 | A | Recover    ['0.02', '0.00', '0.69', '0.28']  20 | 100 | -0.01 | {}
 12 | A | Special    ['0.07', '0.01', '0.73', '0.19']  20 |  70 |  0.01 | {}
 13 | A | Recover    ['0.07', '0.01', '0.72', '0.20']  15 | 100 |  0.01 | {'Poison': 2}
