Epoch 1039
Wins - A: 0, B: 1

  9 | A | Special    ['0.03', '0.01', '0.36', '0.61']  35 |  70 |  0.01 | {'Poison': 2}
 10 | A | Defend     ['0.05', '0.01', '0.42', '0.52']  30 |  80 |  0.01 | {'Poison': 1, 'Defend': 1}
 11 | A | Recover    ['0.15', '0.01', '0.49', '0.34']  25 | 100 |  0.01 | {}
 12 | A | Special    ['0.09', '0.01', '0.80', '0.10']   5 |  70 |  0.01 | {}
 13 | A | *POISONED* ['0.00', '0.00', '0.00', '0.00']   0 |  70 | -9.89 | {'Poison': 3}
  0 | B | Special    ['0.03', '0.00', '0.77', '0.20'] 100 |  70 |  0.01 | {}
  1 | B | Special    ['0.03', '0.00', '0.76', '0.20']  95 |  40 |  0.01 | {'Poison': 2}
  2 | B | Recover    ['0.06', '0.01', '0.66', '0.26']  90 | 100 |  0.01 | {'Poison': 2}
  3 | B | Special    ['0.01', '0.01', '0.70', '0.27']  85 |  70 |  0.01 | {'Poison': 2}
  4 | B | Special    ['0.05', '0.00', '0.72', '0.23']  80 |  40 |  0.01 | {'Poison': 1}
  5 | B | Special    ['0.31', '0.00', '0.49', '0.20']  75 |  10 |  0.01 | {}
  6 | B | Defend     ['0.66', '0.00', '0.21', '0.13']  75 |  20 |  0.01 | {'Defend': 1}
  7 | B | Attack     ['0.34', '0.01', '0.41', '0.24']  70 |  30 |  0.01 | {'Poison': 2}
  8 | B | Special    ['0.50', '0.00', '0.35', '0.15']  65 |   0 |  0.01 | {'Poison': 1}
  9 | B | Special    ['0.45', '0.01', '0.32', '0.22']  60 |   0 |  0.00 | {'Poison': 2}
 10 | B | Recover    ['0.46', '0.00', '0.34', '0.20']  55 |  60 |  0.01 | {'Poison': 1}
 11 | B | Attack     ['0.53', '0.00', '0.32', '0.15']  50 |  70 |  0.01 | {}
 12 | B | Special    ['0.24', '0.00', '0.54', '0.23']  45 |  40 | 10.13 | {'Poison': 2}

Epoch 1046
Wins - A: 2, B: 6

  0 | A | Special    ['0.19', '0.00', '0.08', '0.73']  95 |  70 |  0.01 | {'Poison': 1}
  1 | A | Recover    ['0.25', '0.00', '0.08', '0.67']  90 | 100 |  0.01 | {}
  2 | A | Special    ['0.12', '0.00', '0.09', '0.79']  85 |  70 |  0.01 | {'Poison': 2}
  3 | A | Recover    ['0.12', '0.00', '0.08', '0.81']  80 | 100 |  0.01 | {'Poison': 2}
  4 | A | Recover    ['0.09', '0.00', '0.27', '0.63']  55 | 100 | -0.01 | {'Poison': 1}
  5 | A | Recover    ['0.04', '0.00', '0.33', '0.63']  50 | 100 | -0.01 | {'Poison': 2}
  6 | A | Defend     ['0.04', '0.00', '0.42', '0.54']  45 | 100 |  0.01 | {'Poison': 1, 'Defend': 1}
  7 | A | Special    ['0.13', '0.00', '0.49', '0.38']  40 |  70 |  0.01 | {}
  8 | A | Recover    ['0.23', '0.01', '0.38', '0.38']  40 | 100 |  0.01 | {}
  9 | A | Attack     ['0.11', '0.00', '0.50', '0.39']  35 | 100 |  0.01 | {'Poison': 2}
 10 | A | Recover    ['0.11', '0.01', '0.32', '0.57']  30 | 100 | -0.01 | {'Poison': 2}
 11 | A | Recover    ['0.07', '0.01', '0.18', '0.74']  25 | 100 | -0.01 | {'Poison': 2}
 12 | A | Recover    ['0.08', '0.01', '0.20', '0.71']  20 | 100 | -0.01 | {'Poison': 1}
 12 | A | *KNOCKOUT* ['0.00', '0.00', '0.00', '0.00']   0 | 100 | -9.97 | {'Poison': 1}
  0 | B | Recover    ['0.03', '0.00', '0.75', '0.22']  95 | 100 | -0.01 | {'Poison': 2}
  1 | B | Special    ['0.05', '0.00', '0.74', '0.22']  90 |  70 |  0.01 | {'Poison': 1}
  2 | B | Special    ['0.05', '0.00', '0.73', '0.22']  85 |  40 |  0.01 | {'Poison': 2}
  3 | B | Attack     ['0.27', '0.00', '0.52', '0.21']  80 |  50 |  0.01 | {'Poison': 1}
  4 | B | Special    ['0.25', '0.00', '0.57', '0.19']  75 |  20 |  0.01 | {}
  5 | B | Special    ['0.40', '0.00', '0.42', '0.18']  75 |  20 |  0.00 | {}
  6 | B | Recover    ['0.40', '0.00', '0.42', '0.18']  75 |  80 |  0.01 | {}
  7 | B | Defend     ['0.06', '0.00', '0.72', '0.22']  70 |  90 |  0.01 | {'Poison': 2, 'Defend': 1}
  8 | B | Special    ['0.20', '0.00', '0.59', '0.22']  65 |  60 |  0.01 | {'Poison': 1}
  9 | B | Special    ['0.57', '0.00', '0.27', '0.16']  40 |  30 |  0.01 | {}
 10 | B | Special    ['0.47', '0.00', '0.37', '0.15']  40 |   0 |  0.01 | {}
 11 | B | Special    ['0.42', '0.00', '0.36', '0.22']  40 |   0 | 10.09 | {}

Epoch 1047
Wins - A: 2, B: 7

  0 | A | Recover    ['0.19', '0.00', '0.08', '0.73']  95 | 100 | -0.01 | {}
  1 | A | Recover    ['0.19', '0.00', '0.08', '0.73']  95 | 100 | -0.01 | {}
  2 | A | Recover    ['0.10', '0.00', '0.08', '0.81']  90 | 100 | -0.01 | {'Poison': 2}
  3 | A | Recover    ['0.19', '0.00', '0.12', '0.69']  85 | 100 | -0.01 | {'Poison': 1}
  4 | A | Recover    ['0.16', '0.00', '0.35', '0.49']  60 | 100 | -0.01 | {}
  5 | A | Recover    ['0.11', '0.00', '0.35', '0.53']  55 | 100 | -0.01 | {'Poison': 2}
  6 | A | Special    ['0.06', '0.00', '0.50', '0.44']  50 |  70 |  0.01 | {'Poison': 2}
  7 | A | Attack     ['0.04', '0.00', '0.46', '0.50']  45 |  80 |  0.01 | {'Poison': 2}
  8 | A | Special    ['0.05', '0.01', '0.70', '0.25']  20 |  50 |  0.01 | {'Poison': 1}
  9 | A | Defend     ['0.11', '0.03', '0.59', '0.28']  15 |  60 |  0.01 | {'Defend': 1}
 10 | A | Special    ['0.05', '0.02', '0.58', '0.35']  10 |  30 |  0.01 | {'Poison': 2}
 11 | A | Special    ['0.11', '0.05', '0.47', '0.37']   5 |   0 |  0.01 | {'Poison': 1}
 12 | A | *POISONED* ['0.00', '0.00', '0.00', '0.00']   0 |   0 | -10.00 | {'Poison': 1}
  0 | B | Defend     ['0.03', '0.00', '0.78', '0.19'] 100 | 100 |  0.01 | {'Defend': 1}
  1 | B | Special    ['0.03', '0.00', '0.78', '0.19'] 100 |  70 |  0.01 | {}
  2 | B | Recover    ['0.05', '0.00', '0.75', '0.20'] 100 | 100 |  0.01 | {}
  3 | B | Attack     ['0.03', '0.00', '0.78', '0.18'] 100 | 100 |  0.01 | {}
  4 | B | Special    ['0.03', '0.00', '0.81', '0.16'] 100 |  70 |  0.01 | {}
  5 | B | Special    ['0.05', '0.00', '0.79', '0.16'] 100 |  40 |  0.01 | {}
  6 | B | Special    ['0.05', '0.00', '0.73', '0.22']  95 |  10 |  0.01 | {'Poison': 2}
  7 | B | Attack     ['0.39', '0.00', '0.40', '0.21']  70 |  20 |  0.01 | {'Poison': 1}
  8 | B | Defend     ['0.13', '0.00', '0.64', '0.23']  65 |  30 |  0.01 | {'Poison': 2, 'Defend': 1}
  9 | B | Special    ['0.17', '0.00', '0.63', '0.20']  60 |   0 |  0.01 | {'Poison': 1}
 10 | B | Special    ['0.17', '0.03', '0.48', '0.31']  55 |   0 |  0.00 | {'Poison': 2}
 11 | B | Special    ['0.11', '0.04', '0.54', '0.30']  50 |   0 | 10.10 | {'Poison': 2}

Epoch 1048
Wins - A: 2, B: 8

  0 | A | Recover    ['0.19', '0.00', '0.07', '0.75'] 100 | 100 | -0.01 | {}
  1 | A | Attack     ['0.20', '0.00', '0.06', '0.74'] 100 | 100 |  0.01 | {}
  2 | A | Recover    ['0.16', '0.00', '0.05', '0.80']  95 | 100 | -0.01 | {'Poison': 2}
  3 | A | Defend     ['0.09', '0.00', '0.04', '0.87']  90 | 100 |  0.01 | {'Poison': 2, 'Defend': 1}
